product,jumlah_muncul
nasi sayur asem,88
bbq chicken wings,87
ayam pop,87
crispy chicken bbq aqua,86
chicken yakiniku rice bowl,86
nasi kotak telur,85
nasi ayam kampung belut,84
nasi goreng xo seafood,84
deep fried chicken doger,84
nasi hainan bbq combo,83
ayam bakar,83
extra cheesy chicken cutlet curry,82
nasi siobak jumbo,82
nasi bungkus kikil,82
chicken curry,81
paha ayam bakar,81
daebak ken chicken wings,81
roti sosis ayam,81
nasi kotak ayam bakar sayap,80
sei ayam medium,80
gongso ayam nasi,80
nasi putih,79
nasi tenggiri gulai,79
nasi wader pe,78
oseng ayam asap kecombrang,78
ayam kampung bakar,78
rempela goreng plus nasi,78
chicken wings crush hot,78
dumpling chicken,78
nasi goreng bungkus telur,77
istimewa ayam,77
original chicken steak,77
rice chicken katsu,77
nasi sayur perkedel,77
nasi bungkus telur dadar,77
nasi goreng jawa udang,77
nasi karage omahan teriyaki,77
chicken cutlet,77
telur ayam bagian kuning,77
nasi telor balado,76
sate ayam campur,76
ayam potong pe,76
japanese curry chicken rice feast,75
nasi goreng dimsum kepiting,75
nasi lele sambal ijo,75
nasi ayam geprek sambel bawang,75
nasi sayur,75
ayam pedas,74
rica rica chicken rice mcd,74
happy meal ayam mcd,74
nasi goreng baso seafood,74
bubur ayam sayur asin,74
ayam saus mentega,74
nasi bakar ayam bakar,74
nasi chasio,73
crispi chicken toast,73
nasi tambah,73
ayam bejeg cabe ijo,73
ayam bakar bumbu kecap,73
lemper ayam rm,73
truffle chicken waki,73
nasi hainan ayam panggang,73
nasi telur dadarmatasapi,73
omelete chicken telur,73
loyang sedang ayam bosgil,73
chicken keju,73
nasi campur wong soeroboyo,72
nasi gurih mata sapi,72
nasi cumi saos padang,72
skewers chicken leg,72
truffle chicken mushroom mentai,72
ayam taliwang masakan,72
kailan ayam lada hitam,72
nasi goreng jutawan,72
ayam bakar rica garlic toast,72
super telor ayam sosis,72
nasi octopus,72
nasi dori sambal gempor,72
chicken skin oritaiwanese,71
nasi kuning,71
fat chicken,71
chicken katsu brokoli bento,71
nasi,71
chicken strip kimboo,71
nasi ayam kampung telor,71
ome chicken,71
ayam potong tanpa nasi,71
hainan rice barbeque chicken,71
crispy chicken mentai,71
roasted spring chicken,71
ayam cabe kering,71
nasi sayur telur bulat,71
chicken bbq,71
chicken wings,71
nasi kulit geprek,71
babi panggang tanpa nasi,71
kentang ayam wings crispy,70
chicken qorma single,70
md nyakitin topping ayam tabur,70
nasi bebek rica rica,70
