product,jumlah_muncul
nasi wader pe,25
ayam recheese tanpa nasi,21
bbq chicken wings,21
nasi ayam basil,21
chicken nugget,21
ayam krispy arek ws,20
nasi ikan mas bakar,20
ayam ras bakar,20
nasi basos teriyaki,20
pe tanpa nasi,20
nasi goreng kusut,20
nasi campur ayam crispy,19
es kopi awa,19
nasi karage omahan blackpepper,19
nasi gila,19
crispy chicken paha bawah ol,19
kebab ayam kecil,19
onigiri spicy chicken teriyaki,19
truffle chicken mushroom garlic mentai,19
nasi tambah,19
ayam geprek daun jeruk l,19
nasi goreng putih daging,19
chicken katsu curry udon,19
nasi hainam polos,19
nasi ayam geprek sambal bawang,18
sosis ayam,18
chicken ramen,18
ayam geprek sambal matahpotong,18
nasi chicken wing,18
pao isi ayam bbq,18
burger chicken keju,18
chicken strip kimboo,18
ayam geprek sambal meringis,18
risol ayam saos istimewa,18
nasi kari limasari nasi sereh,18
nasi ikan kakap sambal,18
nasi wings xl geprek bawang,18
ayam taliwang masakan,18
chicken wing bbq,18
nasi goreng spesial pindo,18
es asam jawa,18
nasi bungkus sambal hati,18
chicken katsu carbonara udon,18
nasi polos bosgil,18
the og chicken burger meal,18
nasi gurame sambal ijo,18
ayam goreng,18
nasi pecel ayam crispy,18
combo duo chicken,18
super telor ayam,18
nasi udang pedas wangi lengkap,18
keripik bayam,18
ayam geprek sambal moza,18
nasi ayam spesial,17
seblak ory bakso cuanki,17
nasi ayam goreng,17
fried chicken wings,17
teh susu taro besar,17
fried chicken rice meal classic,17
nasi hainam,17
ayam bumbu rujak,17
biasa ayam telor ayam,17
chicken teriyaki rice bowl,17
nasi capcay,17
nasi putih panas,17
chicken fillet asam manis,17
nasi paru,17
chicken steak geprek,17
nasi ayam bakar omahan,17
nasi goreng sosis telur,17
combo amo duo fire chicken,17
spesial nasi kukris,17
nasi goreng singapore,17
teh sosro,17
rice chicken,17
teh susu taro,17
roti burger ayam,17
rice bowl ayam opor,17
nasi goreng ori,17
nasi ayam kampung lele,17
chicken wings w waffle potato,17
nasi hainan bebek,17
teh tarik hangat,17
szechuan chicken rice,17
chicken wing rice,17
bistik ayam marina,17
up size nasi putih,17
crispy chicken mentai,16
chicken japanese curry,16
nasi pecel original,16
bubur ayam hyokojamur ala mami,16
chicken caesar salad,16
nasi lelewader,16
nasi sayur perkedel,16
nasi bungkus gulai telur,16
pepes tongkol,16
kepala ayam bacem,16
nasi ayam bakar sambal kecap,16
nasi cumi spesial,16
biasa daging jamur telor ayam,16
