product,jumlah_muncul
nasi kulit ayam teriyaki,41
ayam kremes,38
nasi karage omahan teriyaki,37
ayam bejeg cabe ijo,36
spesial ayam jamur telor ayam,36
nasi campur daging,36
ayam geprek,35
chicken steak cordon bleu,35
biasa telor ayam sosis,34
ayam bakar madu,34
istimewa ayam,34
nasi goreng tahu tabalik,34
nasi goreng jutawan,34
jus alpukat,34
ayam kecap,33
nasi goreng seafood,33
nasi bakar ayam bakar,33
gandul tanpa nasi,33
nasi pecelurap wong soeroboyo,33
ayam bakar mini tanpa nasi,33
sup asparagus jagung ayam,33
chicken croffle truffle,33
ayam potong pe,32
nasi goreng steak ayam,32
ayam suwir mozza rice bowl,32
nasi wings xl geprek matha,32
ayam geprek mozarella nasi,32
garlic chicken,31
butter chicken wrap,31
nasi kuning,31
chicken ranch,31
nasi campur wong soeroboyo,31
chicken karage ocha,31
nasi goreng,31
nasi putih,30
mie kering,30
nasi hainan bbq combo,30
sei ayam bambu family size,30
chicken katsudon,30
hot plate ayam paprika,30
nasi panggangan ikan tengiri,30
nasi goreng bscoffee,30
chicken porridge,30
nasi ayam geprek komplit,30
bakmi goreng,30
chicken strips,29
gongso iga nasi,29
nasi madura darat,29
chicken chop with mushroom sc,29
nasi goreng kampung,29
nasi kotak telur,29
nasi goreng tomyam,29
sate ayam dada,29
ayam bakar ts,29
babi panggang tanpa nasi,29
poached chicken,29
nasi pecel,29
mie terocok,29
mie sagu,29
es jeruk,29
nasi goreng merah biasa,29
ayam pop,29
chicken wings,28
ayam hutan,28
ayam geprek mozzarela,28
nasi nila bakar sambal kecap,28
nasi uduk,28
nasi gurih mata sapi,28
nasi biryani kambing dubai,28
kwetiau siram,28
nasi tauco udang pete,28
nasi telor dadar sambel matha,28
takoyaki bakso ayam,28
mie pangsit,28
best of chicken burger,28
es teh,28
ayam bakar,27
nasi ayam goreng kampung,27
nasi lele sambal ijo,27
chicken nugget stick,27
nasi goreng kimci kimci bokeumbab,27
sate taichan ayam,27
nasi jeruk,27
chicken bbq,27
chicken karaage,27
nasi campur,27
mie ayam,27
nasi sayur asem,27
nasi wings xl geprek bawang,27
jus lemon,26
ayam penyet jumbo nasi,26
nasi wings l geprek bawang,26
sei ayam medium,26
nasi goreng seafood original,26
coklat hangat,26
mie tiaw biasa,26
crispy chicken bbq aqua,26
tim obat ayam kampung,26
ayam pedas,26
dfc whole chicken,26
