input_text,product,quantity,price_satuan,pattern
boleh pesan 6 keju aroma matcha dong [SEP] siap keju aroma matcha rp 20.000 totalnya rp120rb kak,keju aroma matcha,6,20000,1
kk mau pesen 10 banana bites choco white dong [SEP] baik kak banana bites choco white 40 ribu satuan totalnya rp 400.000,banana bites choco white,10,40000,1
nbeli 6 mie siram seafood marina dong kak [SEP] oke mie siram seafood marina harga 72k total rp 432.000 ya kak,mie siram seafood marina,6,72000,3
3 ikan daun segar [SEP] ikan daun segar rp 29.000 ya kak jadi 87k,ikan daun segar,3,29000,2
mbak mai pesen 1 cheese brown sugar milk tea ya kak [SEP] uke cheese brown sugar milk tea hargs 22k total 22 rebu ya kak,cheese brown sugar milk tea,1,22000,3
pesan 4 roti toping coklat keju kak [SEP] siap roti toping coklat keju 18 ribu totalnya 72.000 kak,roti toping coklat keju,4,18000,3
kak bisa pesan 5 chizu avocado dong kak [SEP] baik kak chizu avocado 46rb satuan totalnya 230k,chizu avocado,5,46000,2
mas mau pesen 8 ciao long bao ya kak [SEP] ciao long bao rp 9.000 ya kak jadi 72 ribu,ciao long bao,8,9000,2
kak mau order 2 kakap lada hitam ya kak [SEP] oke kakap lada hitam harga 74 ribu total 148rb ya kak,kakap lada hitam,2,74000,2
pesan 7 daun lobak ya [SEP] baik kak daun lobak 41 ribu satuan totalnya rp287rb,daun lobak,7,41000,1
bg bisa pesan 1 udang telur asin ya kak [SEP] oke udang telur asin harga rp 45.000 total 45.000 ya kak,udang telur asin,1,45000,1
bang mau pesen 10 nasi kotak  dendeng brekele kak [SEP] nasi kotak  dendeng brekele 74rb ya kak jadi rp740rb,nasi kotak  dendeng brekele,10,74000,2
1 very berry float ya kak [SEP] siap kak,very berry float,1,-1,3
mauuu pesen 6 chicken mozarella kak [SEP] siap kak chicken mozarella 65.000 per porsi total rp390rb ya,chicken mozarella,6,65000,3
mbak bisa pesan 5 kopi susu seger ya [SEP] oke kopi susu seger harga 60k total rp300rb ya kak,kopi susu seger,5,60000,2
kak mau order 2 nasi soto wong soeroboyo [SEP] oke kak nasi soto wong soeroboyo harganya 58.000 totalnya 116.000,nasi soto wong soeroboyo,2,58000,2
kak mau order 8 es taro frappe dong kak [SEP] baik kak es taro frappe rp 22.000 satuan totalnya 176.000,es taro frappe,8,22000,1
boleh book 7 es red velvet kak [SEP] es red velvet 29.000 ya kak jadi 203k,es red velvet,7,29000,3
jalok 7 choco cheese in out kak [SEP] siap choco cheese in out 27 ribu totalnya 189k kak,choco cheese in out,7,27000,3
mau 3 roti vanila dong kak [SEP] siap kak roti vanila rp 32.000 per porsi total rp96rb ya,roti vanila,3,32000,1
mau 6 pisang cokju ya kak [SEP] oke kak pisang cokju harganya 64 ribu totalnya 384rb,pisang cokju,6,64000,2
beli 5 odette mediterania salad dong kak [SEP] siap odette mediterania salad rp31rb totalnya 155rb kak,odette mediterania salad,5,31000,2
