product,jumlah_muncul
nasi kotak telur,167
chicken teppanyaki,160
nasi chasio,159
nasi goreng sambal matah,159
ayam kota belur cabe ijo,157
ayam taliwang masakan,157
nasi bungkus kikil,156
nasi hainan bbq combo,156
gongso ayam nasi,154
iga bakar nasi,154
chicken wings crush hot,154
nasi goreng jawa udang,153
ayam cabe kering,153
nasi goreng xo seafood,153
nasi gembung saos padang,153
nasi,153
chicken cutlet,153
chicken curry,152
nasi hainan ayam panggang,152
paha ayam bakar,152
nasi bungkus telur dadar,151
nasi manyung ayam potong,151
ayam potong pe,151
ayam bakar mini tanpa nasi,151
nasi karage omahan teriyaki,150
heddon chicken penne,150
nasi ayam kampung belut,149
nasi goreng putih biasa,149
nasi tambah,149
nasi goreng,149
nasi minyak,149
kebab ayam besar,148
nasi sayur perkedel,148
ikan manyung tanpa nasi,148
ayam pedas,148
bubur ayam sayur asin,147
nasi ayam betutu,147
nasi kotak ayam bakar sayap,147
popcorn chicken,146
sate ayam campur,146
itaewon mozzy chicken xxl,146
ayam kampung bakar,146
nasi telor balado,146
nasi goreng pete,145
telur ayam bagian kuning,145
nasi sayur,145
japanese curry chicken rice feast,145
babi panggang tanpa nasi,145
nasi tenggiri gulai,145
nasi telur dadarmatasapi,145
gongso iga nasi,144
chicken nugget stick,144
extra cheesy chicken cutlet curry,144
ayam pop,144
nasi telur balado,144
nasi wader pe,144
beras giling masak nasi,144
best of chicken burger,144
rice chicken katsu,143
nasi sayur asem,143
ayam bakar bumbu kecap,143
daebak ken chicken wings,143
crispy chicken bbq aqua,143
nasi dori sambal gempor,143
bbq chicken wings,143
nasi goreng dimsum kepiting,143
ayam saus mentega,143
sate ayam dada,142
chicken karaage,142
ayam hutan,142
topokki with korean chicken,142
oseng ayam asap kecombrang,142
sate taichan ayam,142
nasigadogado,141
kebab ayam sedang,141
sei ayam medium,141
nasi ayam geprek sambel bawang,141
nasi empal,141
truffle chicken waki,141
kulit ayam bakar,140
nasi bakar ayam bakar,140
ayam bakar,140
lemper ayam rm,140
ayam crispy,140
fire chicken nanban,140
risol salat ayam,140
nasi ayam sambal ijo barokah,140
chicken ranch,140
roasted spring chicken,140
nasi goreng nanas,139
ayam bakar rica garlic toast,139
nasi campur wong soeroboyo,139
happy meal ayam mcd,139
nasi goreng katsu,138
nasi telur kulit,138
nasi kulit omahan teriyaki,138
gandul tanpa nasi,138
nasi chicken wing,138
super telor ayam sosis,138
nasi cumi saos padang,138
