input_text,product,quantity,price_satuan,pattern
minta 5 nasi wings xl geprek bawang ya kak [SEP] siap kak nasi wings xl geprek bawang 24rb per porsi total 120k ya,nasi wings xl geprek bawang,5,24000,2
mau 6 es buah ya kak [SEP] baik kak es buah 53rb satuan totalnya rp 318.000,es buah,6,53000,1
3 pancong keju susu l kak [SEP] oke pancong keju susu l harga 24.000 total 72rb ya kak,pancong keju susu l,3,24000,2
pesan 9 roasted spring chicken kak [SEP] baik kak,roasted spring chicken,9,-1,2
minta 9 kopi tubruk dong kak [SEP] noted kak ditunggu ya,kopi tubruk,9,-1,2
pesan 10 butter chicken wrap dong [SEP] oke butter chicken wrap harga 63rb total 630k ya kak,butter chicken wrap,10,63000,2
7 nasi paru goreng penyet ya kak [SEP] oke siap kak,nasi paru goreng penyet,7,-1,2
biza ord 1 ayam telor penyet nih [SEP] siap kak ayam telor penyet 6rb per porsi ttl rp 6.000 ya,ayam telor penyet,1,6000,3
kak mau order 6 combo ayam geprek mozarella kak [SEP] siap kak combo ayam geprek mozarella rp 26.000 per porsi total 156rb ya,combo ayam geprek mozarella,6,26000,2
bu mau pesen 2 mie kuah pedas dong kak [SEP] noted kak mie kuah pedas 65 ribu per porsi totalnya 130rb,mie kuah pedas,2,65000,2
bisa pesan 2 nasi penyet bakwan ya [SEP] oke nasi penyet bakwan harga 45 ribu total rp90rb ya kak,nasi penyet bakwan,2,45000,1
boleh pesan 4 telur ayam bagian kuning dong kak [SEP] siap telur ayam bagian kuning rp64rb totalnya 256k kak,telur ayam bagian kuning,4,64000,2
mau 2 nasi pecelurap wong soeroboyo dong [SEP] siap nasi pecelurap wong soeroboyo rp 7.000 totalnya 14 ribu kak,nasi pecelurap wong soeroboyo,2,7000,1
beli 7 nasi campur daging dong [SEP] oke nasi campur daging harga rp 4.000 total 28rb ya kak,nasi campur daging,7,4000,1
7 nasi bakar ayam bakar dong [SEP] shap kak nasi bakar ayam bakar rp 18.000 per porsi total 126 ribu ya,nasi bakar ayam bakar,7,18000,3
pak 1 teh anggur ya kak [SEP] teh anggur 62rb ya kak jadi 62rb,teh anggur,1,62000,1
bang 9 nasi goreng tomyam kak [SEP] oke siap kak,nasi goreng tomyam,9,-1,3
kak mw pesen 8 rempela goreng plus nasi kak [SEP] siap kak rempela goreng plus nasi 38k per porsi total 304rb ya,rempela goreng plus nasi,8,38000,3
pesan 8 hot plate ayam paprika kak [SEP] oke kak hot plate ayam paprika harganya rp 37.000 totalnya 296 ribu,hot plate ayam paprika,8,37000,2
minta 7 sop iga ya kak [SEP] noted kak sop iga rp25rb per porsi totalnya rp 175.000,sop iga,7,25000,1
pesan 1 chicken nugget stick ya kak [SEP] chicken nugget stick rp4rb ya kak jadi 4rb,chicken nugget stick,1,4000,1
5 bakmie kasar polos telur dong kak [SEP] bakmie kasar polos telur 47rb ya kak jadi rp 235.000,bakmie kasar polos telur,5,47000,1
boleh pesan 1 nasi bebek super ya [SEP] noted kak nasi bebek super 73 ribu per porsi totalnya rp 73.000,nasi bebek super,1,73000,2
pesan 3 ayam bakar ya kak [SEP] oke ayam bakar harga 7k total rp21rb ya kak,ayam bakar,3,7000,2
pesan 10 udang penyet dong [SEP] oke kak udang penyet harganya 23.000 totalnya 230k,udang penyet,10,23000,2
mau 5 poached chicken dong kak [SEP] poached chicken 6rb ya kak jadi rp30rb,poached chicken,5,6000,2
minta 6 iga penyet ya [SEP] noted kak iga penyet rp37rb per porsi totalnya 222 ribu,iga penyet,6,37000,3
kak mau order 10 es blewah [SEP] noted kak es blewah 10rb per porsi totalnya 100.000,es blewah,10,10000,2
7 nasi pecel dong kak [SEP] oke kak nasi pecel harganya rp 30.000 totalnya 210.000,nasi pecel,7,30000,2
kak mau order 5 mie terocok dong [SEP] oke kak mie terocok harganya 15.000 totalnya 75rb,mie terocok,5,15000,2
bang 10 mie gobyoss otak otak nih [SEP] baik kak,mie gobyoss otak otak,10,-1,3
kak 9 mie sagu kak [SEP] siap kak mie sagu 70 ribu per porsi total rp630rb ya,mie sagu,9,70000,2
pesan 7 sei ayam medium [SEP] sei ayam medium rp19rb ya kak jadi 133k,sei ayam medium,7,19000,1
kk 5 sop bebek paha dong [SEP] oke siap kak,sop bebek paha,5,-1,2
bg 2 kopi susu banana [SEP] baik kak kopi susu banana 71.000 satuan totalnya 142.000,kopi susu banana,2,71000,1
pesan 7 chicken bbq ya [SEP] noted kak chicken bbq 20k per porsi totalnya rp 140.000,chicken bbq,7,20000,1
5 bbq chicken wings [SEP] noted kak bbq chicken wings rp35rb per porsi totalnya 175 ribu,bbq chicken wings,5,35000,2
brli 2 ayam goreng panas dong kak [SEP] noted kak ayam goreng panas 68.000 per porsi totalnya rp136rb,ayam goreng panas,2,68000,3
beli 6 es teh ya kak [SEP] noted kak es teh rp17rb per porsi totalnya rp 102.000,es teh,6,17000,2
boleh pesan 5 bihun pansit polos nih [SEP] oke bihun pansit polos harga 26 ribu total 130 ribu ya kak,bihun pansit polos,5,26000,1
kak 5 mie rebus ya [SEP] siap mie rebus 66.000 totalnya rp330rb kak,mie rebus,5,66000,1
minta 10 nasi goreng merah biasa dong kak [SEP] oke nasi goreng merah biasa harga rp 18.000 total 180k ya kak,nasi goreng merah biasa,10,18000,1
beli 6 paru goreng pedes kak [SEP] baik kak paru goreng pedes rp 62.000 satuan totalnya rp 372.000,paru goreng pedes,6,62000,1
kak mau pesen 9 mie kroyok pacar ya [SEP] oke siap kak,mie kroyok pacar,9,-1,1
beli 5 kukubima susu nih [SEP] siap kukubima susu 33k totalnya rp 165.000 kak,kukubima susu,5,33000,1
kak bisa pesan 1 the og chicken burger combo ya [SEP] siap kak the og chicken burger combo rp4rb per porsi total rp 4.000 ya,the og chicken burger combo,1,4000,1
kak mau order 10 bebek penyet sambal terasi dong kak [SEP] siap kak bebek penyet sambal terasi 65.000 per porsi total rp650rb ya,bebek penyet sambal terasi,10,65000,2
pesan 4 sop marina bay ya kak [SEP] noted kak sop marina bay rp 49.000 per porsi totalnya 196rb,sop marina bay,4,49000,1
kk 7 gongso iga nasi nih [SEP] noted kak gongso iga nasi rp 55.000 per porsi totalnya rp385rb,gongso iga nasi,7,55000,3
beli 2 mie tom yum dong [SEP] siap kak mie tom yum rp12rb per porsi total 24 ribu ya,mie tom yum,2,12000,2
pesan 4 mie kering nih [SEP] baik kak mie kering rp65rb satuan totalnya 260rb,mie kering,4,65000,1
pesan 5 nasi campur wong soeroboyo ya [SEP] nasi campur wong soeroboyo 10.000 ya kak jadi 50.000,nasi campur wong soeroboyo,5,10000,2
pak bisa pesan 9 roti bakso sapi ya kak [SEP] baik kak roti bakso sapi 57k satuan totalnya rp 513.000,roti bakso sapi,9,57000,1
bg 8 mie biasa dong kak [SEP] noted kak mie biasa rp8rb per porsi totalnya 64.000,mie biasa,8,8000,1
5 nila saos thailand dong kak [SEP] oke noted,nila saos thailand,5,-1,1
mau 9 mie pangsit dong kak [SEP] shap kak mie pangsit 10 ribu per porsi ttl 90.000 ya,mie pangsit,9,10000,3
mau pesen 2 empal tempe penyet [SEP] siap empal tempe penyet rp 67.000 totalnya 134rb kak,empal tempe penyet,2,67000,2
7 extra cheesy chicken cutlet curry nih [SEP] oke kak pesanannya masuk ya,extra cheesy chicken cutlet curry,7,-1,2
beli 6 nasi penyet terong [SEP] oke nasi penyet terong harga rp 62.000 total 372rb ya kak,nasi penyet terong,6,62000,1
mau 4 sushi selamat ya platter dong [SEP] oke kak sushi selamat ya platter harganya 53.000 totalnya rp 212.000,sushi selamat ya platter,4,53000,3
mas 6 passion fruit tea ya [SEP] oke kak passion fruit tea harganya 43.000 totalnya 258.000,passion fruit tea,6,43000,2
beli 1 nasi karage omahan teriyaki nih [SEP] siap nasi karage omahan teriyaki rp 75.000 totalnya rp 75.000 kak,nasi karage omahan teriyaki,1,75000,2
mau 2 risoles ya [SEP] risoles rp 13.000 ya kak jadi 26 ribu,risoles,2,13000,2
mbak 9 roti bakso sapi dong [SEP] siap roti bakso sapi 33.000 totalnya rp297rb kak,roti bakso sapi,9,33000,2
boleh pesan 10 roasted spring chicken kak [SEP] roasted spring chicken rp 65.000 ya kak jadi 650rb,roasted spring chicken,10,65000,1
kk 4 penyetan lele nasi nih [SEP] oke siap kak,penyetan lele nasi,4,-1,1
book 4 nasi gurami bakar kecil [SEP] baik kak nasi gurami bakar kecil rp4rb satuan totalnya 16.000,nasi gurami bakar kecil,4,4000,3
7 nasi goreng jawa udang kak [SEP] oke kak pesanannya masuk ya,nasi goreng jawa udang,7,-1,3
min mau pesen 5 konro kak [SEP] siap konro 33k totalnya rp165rb kak,konro,5,33000,1
