product,jumlah_muncul
nasi bandeng presto,38
usus ayam,37
bimbimbapp nasi campur korea,36
sapo tahu jepang ayam,36
ayam paha atas hot lava,35
personal mandhi ayam,35
bluder abon ayam,35
ayam krispy dahsyat,34
ayam goreng,34
chicken katsu agedashi tofu bento,34
nasi ampela ati goreng,34
ayam bakar plus nasi,34
nasi dori sambal gempor,34
nasi nila saos padang,34
double chicken steak,34
nasi bebek saos padang,33
ayam rendang potong,33
ikan sambal dabudabu nasi,33
nasi telur kulit,33
bbq chicken mini,33
nasi kulit ayam keju,33
spicy chicken wings,32
chicken cheese burger,32
nasi goreng jumbo nyam nyam,32
chicken ramenn,32
lumpia ayam kulit tahu,32
cah taoge ayam,32
babi crispy tanpa nasi,32
nasi hot plate tahu jepang,32
cereal chicken ala carte,32
nasi goreng osaka,32
nasi ayam sambal gempor,32
nasi ayam goreng kampung,31
burger ayam katsu,31
biasa jamur telor ayam,31
aneka jus,31
sosis bakar vigo rasa ayam,31
nasi empal sambal rica,31
nasi wader,31
chicken roast set,31
original chicken nanban,31
nasi hokben,31
nasi goreng kalimantan,31
chicken curry,31
nasi chicken lada hitam,31
bebek goreng tanpa nasi,31
nasi goreng kambing,31
spesial telor ayam sosis,30
combo xxl crispy chicken,30
ayam pedas manis,30
sei ayam bambu family size,30
ayam saos,30
chicken pepper rice,30
chicken strip roll,30
es kopi susu,30
latte,30
nasi goreng telur,30
telur ayam ceplok,30
nasi pecel udang goreng,30
ayam rendangpotong,30
fried chicken sambal korek,30
nasi pecelurap ayam kampung,30
nasi gembung bakar sambal kecap,30
nasi ayam kampung pe,30
nasi goreng xiwang,30
mantau chicken oat,30
kwetiaw ayam lada hitam,30
katsu sauce blackpaper tanpa nasi,30
nasi goreng xo seafood,30
nasi paru goreng,30
chicken teriyaki ramen,29
nasi ayam krengsengan lengkap,29
nasi goreng beef,29
pop es doger cincau,29
nasi telur pedas wangi,29
babi panggang tanpa nasi,29
nasi rawon,29
sunday roast chicken,29
nasi sayur ikan,29
ikan sambal pecak nasi,29
truffle chicken spicy mentai nekad,29
chicken rogout,29
telor ayam orak arik,29
ayam goreng tanpa nasi,29
ayam geprek taman kopi,29
chipotle chicken salad,29
nasi campur udang goreng,29
nasi bebek kebon samping,29
loyang sedang ayam bosgil,29
boneless fried chicken spicy,29
nasi campur krengsengan,29
paha geprek nasi,29
nasi belut manyung,29
nasi udang asam pedas,29
chicken marinated,29
nasi gurih telur,29
kimchi chicken sesame,29
nasi karage omahan blackpepper,29
nasi goreng seafood marina,29
chicken parmigiana,29
