product,jumlah_muncul
chicken karage ocha,168
crispy chicken bbq aqua,160
chicken porridge,159
ayam suwir mozza rice bowl,158
ayam kremes,154
nasi kulit ayam teriyaki,154
chicken ranch,154
nasi goreng seafood,154
nasi bebek kebon samping,154
ayam kota belur cabe ijo,152
poached chicken,152
gandul tanpa nasi,152
butter chicken wrap,151
nasi goreng jutawan,150
combo ayam geprek mozarella,149
chicken bbq,149
chicken katsudon,148
sate ayam dada,147
tim obat ayam kampung,147
fried chicken box,146
nasi tauco udang pete,145
ayam pop,145
telur ayam bagian kuning,144
nasi bebek bakar,144
rempela goreng plus nasi,143
ayam hutan,143
ayam geprek mozarella nasi,143
nasi chicken wing,143
nasi hainan bbq combo,142
nasi karage omahan teriyaki,142
gongso iga nasi,141
nasi sayur perkedel,141
nasi madura darat,141
itaewon mozzy chicken xxl,140
nasi campur daging,140
ayam bakar rica garlic toast,140
nasi octopus,139
ayam bejeg cabe ijo,139
hainan rice barbeque chicken,139
ayam kecap,139
nasi kulit geprek,139
chicken chop with mushroom sc,139
nasi goreng kampung,139
nasi panggangan ikan tengiri,138
ayam bakar,138
chicken karaage,138
nasi tambah,137
ayam bakar mini tanpa nasi,137
best of chicken burger,137
nasi goreng cabe ijo,136
sup asparagus jagung ayam,136
nasi goreng sosis telur,136
soto reog nasi,136
nasi hainan ayam panggang,135
nasi gurih mata sapi,135
nasi biryani kambing dubai,135
nasi padang,135
istimewa ayam,135
nasi liwet,134
koloke nasi,134
sate taichan ayam,134
omelete chicken telur,134
nasi cumi saos padang,134
ayam pedas,134
nasi bakar ayam bakar,134
nasi ayam sambal ijo barokah,134
nasi goreng bscoffee,134
ayam geprek sambal udangpotong,134
ayam bakar ts,134
nasi goreng steak ayam,134
nasi telur kulit,134
ayam saus mentega,133
nasi goreng tomyam,133
nasi nila bakar sambal kecap,133
nasi lele sambal ijo,133
nasi goreng tahu tabalik,133
ayam geprek,132
garlic chicken,132
gochujang chicken,132
nasi siobak jumbo,132
extra cheesy chicken cutlet curry,132
nasi uduk,132
ayam tauco,132
super telor ayam sosis,132
ayam kampung bakar,131
ayam katsu,131
chicken steak cordon bleu,130
sei ayam bambu family size,130
nasi pecel,130
ayam bakar madu,130
chicken croffle truffle,130
nasi bakar,130
dfc whole chicken,130
nasi goreng kimci kimci bokeumbab,129
nasi goreng xo seafood,129
chicken strips seasoning,129
nasi ayam goreng kampung,129
nasi jeruk,129
fried chicken,129
nasi goreng katsu,129
