input_text,product,quantity,price_satuan,pattern
minta 7 nasi kari limasari nasi putih ya [SEP] oke kak nasi kari limasari nasi putih harganya 22 ribu totalnya rp 154.000,nasi kari limasari nasi putih,7,22000,1
bu mau pesen 4 mie goreng djawa [SEP] noted kak mie goreng djawa rp 48.000 per porsi totalnya 192k,mie goreng djawa,4,48000,2
4 teh obenk dong [SEP] oke kak pesanannya masuk ya,teh obenk,4,-1,1
minta 5 strawberry smoothies with ice cream kak [SEP] strawberry smoothies with ice cream rp 11.000 ya kak jadi 55.000,strawberry smoothies with ice cream,5,11000,2
kak bisa pesan 6 ayam sambal ijo [SEP] noted kak ayam sambal ijo 6rb per porsi totalnya 36rb,ayam sambal ijo,6,6000,1
kak mau order 6 nasi kotak rendang daging dong kak [SEP] siap kak nasi kotak rendang daging 3k per porsi total 18rb ya,nasi kotak rendang daging,6,3000,1
beli 1 ikan kerapu goreng per ekor ya kak [SEP] ikan kerapu goreng per ekor rp 75.000 ya kak jadi 75k,ikan kerapu goreng per ekor,1,75000,2
mau 2 ceker ayam ya kak [SEP] noted kak ceker ayam rp60rb per porsi totalnya 120.000,ceker ayam,2,60000,1
mbak bisa pesan 4 pancong taro dong [SEP] oke pancong taro harga rp20rb total 80rb ya kak,pancong taro,4,20000,1
pak mau pesen 3 combo ayam bakar dong [SEP] combo ayam bakar rp 54.000 ya kak jadi 162 ribu,combo ayam bakar,3,54000,1
boleh pesan 4 mie petir level l ya [SEP] baik kak mie petir level l 50 ribu satuan totalnya 200rb,mie petir level l,4,50000,1
beli 5 es kopi tem dong kak [SEP] es kopi tem 4 ribu ya kak jadi rp 20.000,es kopi tem,5,4000,2
beli 2 nasi goreng pake sayaurtelor nih [SEP] baik kak nasi goreng pake sayaurtelor rp3rb satuan totalnya rp 6.000,nasi goreng pake sayaurtelor,2,3000,2
5 sop ayam kriuk ya kak [SEP] baik kak sop ayam kriuk rp 16.000 satuan totalnya 80 ribu,sop ayam kriuk,5,16000,2
minta 4 tomyum udang family dong [SEP] oke tomyum udang family harga 24.000 total 96rb ya kak,tomyum udang family,4,24000,2
boleh pesan 5 sesame blackpepper chicken rice feast dong [SEP] oke kak sesame blackpepper chicken rice feast harganya rp25rb totalnya rp 125.000,sesame blackpepper chicken rice feast,5,25000,2
minta 4 nasi kepiting nongki ya kak,nasi kepiting nongki,4,-1,1
minta 5 nasi paru goreng penyet dong kak [SEP] noted kak nasi paru goreng penyet 36.000 per porsi totalnya 180.000,nasi paru goreng penyet,5,36000,1
boleh pesan 9 es leci l nih [SEP] es leci l 36 ribu ya kak jadi rp324rb,es leci l,9,36000,1
kak mau order 8 es teh melati ya kak [SEP] siap kak es teh melati 18rb per porsi total 144 ribu ya,es teh melati,8,18000,2
2 soto pekalongan masakan dong kak,soto pekalongan masakan,2,-1,3
pesan 2 es durian bubble gum nih [SEP] oke kak pesanannya masuk ya,es durian bubble gum,2,-1,1
1 fries cheesy dong kak [SEP] noted kak fries cheesy 12rb per porsi totalnya 12 ribu,fries cheesy,1,12000,1
boleh pesan 3 chicken crispy bun dong kak [SEP] oce kak chicken crispy bun harganya 38.000 totalnya 114 ribu,chicken crispy bun,3,38000,3
beli 1 es kopi klepon nih [SEP] oke es kopi klepon harga rp9rb total 9rb ya kak,es kopi klepon,1,9000,2
min bisa pesan 9 mie claypot ya kak [SEP] mie claypot 16k ya kak jadi 144k,mie claypot,9,16000,2
beli 8 ikan cakalang jantung segar kak [SEP] siap ikan cakalang jantung segar rp 59.000 totalnya 472k kak,ikan cakalang jantung segar,8,59000,2
pak 2 kopi gayo sanger ya kak [SEP] kopi gayo sanger rp34rb ya kak jadi 68k,kopi gayo sanger,2,34000,2
beli 4 bakso ayam frozen ya [SEP] oke kak bakso ayam frozen harganya rp16rb totalnya 64.000,bakso ayam frozen,4,16000,1
min 3 mie ayam wings crispy nih [SEP] mie ayam wings crispy 66k ya kak jadi rp198rb,mie ayam wings crispy,3,66000,2
boleh pesan 3 mie jumbo ganas [SEP] mie jumbo ganas rp 48.000 ya kak jadi rp 144.000,mie jumbo ganas,3,48000,2
kk 10 nasi goreng dimsum kepiting kak [SEP] siap kak,nasi goreng dimsum kepiting,10,-1,1
6 biasa ayam telor ayam ya [SEP] oke siap kak,biasa ayam telor ayam,6,-1,3
bang 8 bebek penyet nasi kak [SEP] siap kak bebek penyet nasi 3rb per porsi total rp 24.000 ya,bebek penyet nasi,8,3000,2
mau 1 es rasa coklat dong [SEP] noted kak es rasa coklat 62.000 per porsi totalnya 62rb,es rasa coklat,1,62000,1
mbak 2 rice bowl ayam lada hitam nih [SEP] oke kak rice bowl ayam lada hitam hrgny 12.000 totalnya 24.000,rice bowl ayam lada hitam,2,12000,3
boleh pesan 6 mie djoedes nyebelin topping teriyaki kak [SEP] oke mie djoedes nyebelin topping teriyaki harga 46.000 total rp276rb ya kak,mie djoedes nyebelin topping teriyaki,6,46000,2
pesan 2 corndog original moza mie kak [SEP] baik kak corndog original moza mie 36.000 satuan totalnya rp 72.000,corndog original moza mie,2,36000,2
kak mau pesen 10 boba ya kak,boba,10,-1,2
boleh pesan 6 epic katsu chicken kak [SEP] oke kak epic katsu chicken harganya 73rb totalnya 438 ribu,epic katsu chicken,6,73000,2
beli 8 udang tiga rasa [SEP] oke kak udang tiga rasa harganya 34 ribu totalnya 272 ribu,udang tiga rasa,8,34000,2
kak 7 nasi ayam geprek sambel nyoyor ya kak [SEP] oke nasi ayam geprek sambel nyoyor harga rp68rb total 476k ya kak,nasi ayam geprek sambel nyoyor,7,68000,2
kak mau pesen 8 babatagoran nih,babatagoran,8,-1,2
pesan 1 nasi diabetasol dong [SEP] noted kak nasi diabetasol 61k per porsi totalnya 61 ribu,nasi diabetasol,1,61000,1
minta 6 jus mango [SEP] siap jus mango 70 ribu totalnya rp 420.000 kak,jus mango,6,70000,2
3 burger chicken komplit dong [SEP] baik kak,burger chicken komplit,3,-1,3
bang mau pesen 10 cappuccino dong kak [SEP] noted kak cappuccino rp 22.000 per porsi totalnya rp220rb,cappuccino,10,22000,1
minta 1 mochi taro rm ya [SEP] siiaapp kak mochi taro rm 3k per porsi total rp 3.000 ya,mochi taro rm,1,3000,3
kak mau order 5 tiammie nih [SEP] oke tiammie harga 60rb total 300k ya kak,tiammie,5,60000,1
bg nbisa pesan 4 itaewon crispy chicken xxl dong [SEP] oke itaewon crispy chicken xxl hargs 42 rbu ttl rp168rb ya kak,itaewon crispy chicken xxl,4,42000,3
10 es lemon tea dong kak [SEP] oke siap kak,es lemon tea,10,-1,1
kk 7 juice pepaya thailand [SEP] siap kak juice pepaya thailand rp 53.000 per porsi total 371.000 ya,juice pepaya thailand,7,53000,1
mbak 3 personal nasi mandhi kak [SEP] oke kak personal nasi mandhi harganya 44rb totalnya rp 132.000,personal nasi mandhi,3,44000,2
bg bisa pesan 10 caramel latte cold nih [SEP] caramel latte cold rp48rb ya kak jadi rp480rb,caramel latte cold,10,48000,2
beli 2 iced cafe latte [SEP] noted kak iced cafe latte rp21rb per porsi totalnya 42.000,iced cafe latte,2,21000,2
kak mau order 4 nasi gurih matasapi kak [SEP] siap kak nasi gurih matasapi 29.000 per porsi total 116k ya,nasi gurih matasapi,4,29000,2
kak mau order 5 ramerame mandhi ayam ya kak [SEP] oke ramerame mandhi ayam harga 17.000 total rp85rb ya kak,ramerame mandhi ayam,5,17000,2
pesan 2 nasi kuning telur dong kak [SEP] oke noted,nasi kuning telur,2,-1,3
beli 1 tahu bakso original dong kak [SEP] siap kak tahu bakso original 34.000 per porsi total rp 34.000 ya,tahu bakso original,1,34000,2
pesan 2 honey butter lemon chicken ya kak [SEP] noted kak honey butter lemon chicken 45.000 per porsi totalnya 90 ribu,honey butter lemon chicken,2,45000,2
mau 3 small ice original thai tea kak [SEP] noted kak small ice original thai tea 69k per porsi totalnya 207rb,small ice original thai tea,3,69000,1
bg 3 nasi goreng kebon samping [SEP] nasi goreng kebon samping 6k ya kak jadi rp18rb,nasi goreng kebon samping,3,6000,2
7 chicken karage with egg nih [SEP] oke kak chicken karage with egg harganya 58 ribu totalnya 406 ribu,chicken karage with egg,7,58000,2
pesan 6 cookies semprit mini kak [SEP] oke cookies semprit mini harga 75rb total 450 ribu ya kak,cookies semprit mini,6,75000,2
boleh pesan 6 nasi ayam black pepper dong kak [SEP] siap nasi ayam black pepper 8.000 totalnya 48.000 kak,nasi ayam black pepper,6,8000,2
pak bisa pesan 7 caramel coffee latte ya kak [SEP] oke caramel coffee latte harga rp 36.000 total 252rb ya kak,caramel coffee latte,7,36000,1
3 chicken fillet nih [SEP] siap chicken fillet 29 ribu totalnya 87rb kak,chicken fillet,3,29000,1
kak mau order 9 nasi lele sambal ijo [SEP] baik kak nasi lele sambal ijo 47k satuan totalnya 423rb,nasi lele sambal ijo,9,47000,1
kak mau pesen 4 tumis bayam bersantan kak [SEP] noted kak ditunggu ya,tumis bayam bersantan,4,-1,1
minta 7 ayam bakar nasi kak [SEP] uke kak ayam bakar nasi harganya rp25rb totalnya rp175rb,ayam bakar nasi,7,25000,3
4 ayam clbk pbawah dong [SEP] siap ayam clbk pbawah 71k totalnya 284k kak,ayam clbk pbawah,4,71000,1
kak mau order 3 thai tea matcha dong kak [SEP] oke kak thai tea matcha harganya rp 4.000 totalnya 12.000,thai tea matcha,3,4000,2
mas mau pesen 4 bakso stik ayam dong kak [SEP] siap bakso stik ayam rp 60.000 totalnya rp 240.000 kak,bakso stik ayam,4,60000,2
min mau pesen 3 es drink beng beng nih [SEP] noted kak es drink beng beng 12 ribu per porsi totalnya 36rb,es drink beng beng,3,12000,2
boleh pesan 7 kacang kedelai goreng dong [SEP] noted kak kacang kedelai goreng 46.000 per porsi totalnya 322 ribu,kacang kedelai goreng,7,46000,3
pesan 2 es permen karet suroboyo small ya kak [SEP] baik kak es permen karet suroboyo small rp25rb satuan totalnya 50.000,es permen karet suroboyo small,2,25000,2
minta 8 kopi susu coklat dong [SEP] kopi susu coklat 38k ya kak jadi rp304rb,kopi susu coklat,8,38000,1
mau 5 salad ayam cincang dg suun kak [SEP] siap salad ayam cincang dg suun rp 15.000 totalnya rp 75.000 kak,salad ayam cincang dg suun,5,15000,1
bang nmau pesen 4 nasi cap jay dong [SEP] noks nasi cap jay nharga 22rb total 88.000 ya kak,nasi cap jay,4,22000,3
beli 8 ayam bakar plus nasi ya kak [SEP] siap ayam bakar plus nasi 7rb totalnya rp56rb kak,ayam bakar plus nasi,8,7000,1
bli 8 ayam semurpotong kak [SEP] noted kak ayam semurpotong 72rb per porsi totalnya rp 576.000,ayam semurpotong,8,72000,3
kak mau order 6 bayam tumis bersantan ya kak [SEP] oke kak bayam tumis bersantan harganya rp 15.000 totalnya 90.000,bayam tumis bersantan,6,15000,1
8 ayam dada ya,ayam dada,8,-1,1
kak mau order 5 nasi goreng bistik sapi [SEP] siap kak nasi goreng bistik sapi 45.000 per porsi total 225 ribu ya,nasi goreng bistik sapi,5,45000,1
mbak 4 cah jamur ayam ya kak [SEP] baik kak,cah jamur ayam,4,-1,2
mau pesen 8 chicken sandwich ya [SEP] oke chicken sandwich harga rp 3.000 total 24rb ya kak,chicken sandwich,8,3000,1
kak mau order 10 matcha red bean smoothie ya [SEP] siap kak matcha red bean smoothie 47 ribu per porsi total 470rb ya,matcha red bean smoothie,10,47000,1
9 nyamiel bomb ya kak [SEP] siap kak nyamiel bomb 37.000 per porsi total rp 333.000 ya,nyamiel bomb,9,37000,1
mau 1 mie katsu asam manis [SEP] mie katsu asam manis 20rb ya kak jadi 20 ribu,mie katsu asam manis,1,20000,2
bu mau pesen 8 spesial ayam geprek sambal matah [SEP] siap spesial ayam geprek sambal matah 75k totalnya 600 ribu kak,spesial ayam geprek sambal matah,8,75000,2
min bisa pesan 2 nasi pecel ya [SEP] siap nasi pecel 38 ribu totalnya rp 76.000 kak,nasi pecel,2,38000,1
bu mau pesen 2 ikan tipis dong kak [SEP] oke kak ikan tipis harganya rp 53.000 totalnya rp 106.000,ikan tipis,2,53000,1
pesan 5 spikoe kombinasi legit [SEP] noted kak spikoe kombinasi legit 72 ribu per porsi totalnya 360.000,spikoe kombinasi legit,5,72000,2
bang 2 es durian original ya kak [SEP] oke kak pesanannya masuk ya,es durian original,2,-1,3
bang 6 nasi sayur telur dadar ya [SEP] baik kak nasi sayur telur dadar 18k satuan totalnya 108.000,nasi sayur telur dadar,6,18000,2
bg mau pesen 2 chocotown cha cha cha dong kak [SEP] oke kak chocotown cha cha cha harganya 42rb totalnya 84 ribu,chocotown cha cha cha,2,42000,2
bu bisa pesan 10 susu kocok boba coklat [SEP] siap susu kocok boba coklat 59rb totalnya rp 590.000 kak,susu kocok boba coklat,10,59000,2
pesan 9 cumi bakar ranjau [SEP] siap cumi bakar ranjau rp71rb totalnya 639rb kak,cumi bakar ranjau,9,71000,1
