input_text,product,quantity,price_satuan,pattern
3 bakso frozen kak [SEP] noted kak bakso frozen rp 26.000 per porsi totalnya 78rb,bakso frozen,3,26000,3
bang 3 kangkung belacan ya kak [SEP] baik kak kangkung belacan 50 ribu satuan totalnya 150k,kangkung belacan,3,50000,1
9 nasi telur sambal ijo ya kak [SEP] siap kak nasi telur sambal ijo rp 73.000 per porsi total 657k ya,nasi telur sambal ijo,9,73000,3
kak mau order 9 mojito cocopandan ya [SEP] mojito cocopandan 59 ribu ya kak jadi 531k,mojito cocopandan,9,59000,1
kak bisa book 7 es boba chocolate ya kak [SEP] siaap kak es boba chocolate rp26rb per porsi total 182 rbuan ya,es boba chocolate,7,26000,3
mnta 2 bolu gulung coklat qz kak [SEP] bolu gulung coklat qz rp52rb ya kak jadi 104 ribu,bolu gulung coklat qz,2,52000,3
mau 10 the pesto whole [SEP] the pesto whole 43rb ya kak jadi 430 ribu,the pesto whole,10,43000,2
bg bisa pesan 10 nasi gurih  telur dadar kak [SEP] nasi gurih  telur dadar 52rb ya kak jadi rp520rb,nasi gurih  telur dadar,10,52000,2
bang 3 crofell taro ya kak [SEP] oke crofell taro harga rp64rb total rp192rb ya kak,crofell taro,3,64000,2
kk 7 kopi bubuk instant [SEP] oke kak pesanannya masuk ya,kopi bubuk instant,7,-1,3
pak mau pesen 4 flavoured latte cold nih [SEP] baik kak flavoured latte cold rp60rb satuan totalnya 240.000,flavoured latte cold,4,60000,2
beli 7 roti sobek mnisss original ya [SEP] oke roti sobek manisss original hrg rp 35.000 total rp245rb ya kak,roti sobek manis  original,7,35000,3
kk 6 kangkung tondano kak [SEP] noted kak kangkung tondano 71.000 per porsi totalnya rp 426.000,kangkung tondano,6,71000,2
minta 2 jus lemon kak [SEP] siap kak,jus lemon,2,-1,3
beli 5 ganepo kak [SEP] baik kak ganepo 28rb satuan totalnya 140.000,ganepo,5,28000,2
1 croissant smoked beef dong [SEP] baik kak,croissant smoked beef,1,-1,3
pesan 8 rice ya [SEP] oke kak rice harganya 30rb totalnya 240.000,rice,8,30000,2
beli 6 es teh leci [SEP] siap kak es teh leci rp 32.000 per porsi total 192 ribu ya,es teh leci,6,32000,1
beli 5 nasi sayur telur dadar ya kak [SEP] oke kak nasi sayur telur dadar harganya 74.000 totalnya 370.000,nasi sayur telur dadar,5,74000,1
mbak 4 vietnam drip hot ya [SEP] siap kak,vietnam drip hot,4,-1,2
mau 2 sapi babat segar kak [SEP] baik kak sapi babat segar 29k satuan totalnya 58k,sapi babat segar,2,29000,3
minta 2 cokban ya [SEP] oke kak pesanannya masuk ya,cokban,2,-1,3
min bisa order 1 soto betawi masakan [SEP] siap kak soto betawi mskn rp10rb per porsi total rp10rb ya,soto betawi masakan,1,10000,3
mau 7 dumpling chesee nih [SEP] siapp dumpling chesee rp 71.000 totalnya 497.000 kak,dumpling chesee,7,71000,3
bang 1 srikaya butter set dong kak [SEP] srikaya butter set rp67rb ya kak jadi rp67rb,srikaya butter set,1,67000,2
1 pancong strawberry s nih [SEP] baik kak pancong strawberry s 64k satuan totalnya rp 64.000,pancong strawberry s,1,64000,2
beli 5 gorengan penyet ya kak [SEP] oke kak gorengan penyet harganya 56 ribu totalnya rp 280.000,gorengan penyet,5,56000,2
4 kentang ulir dong kak [SEP] oke kak kentang ulir harganya rp62rb totalnya 248k,kentang ulir,4,62000,2
boleh pesan 10 corn mayo gunkan dong kak [SEP] baik kak corn mayo gunkan rp 13.000 satuan totalnya 130rb,corn mayo gunkan,10,13000,2
bg mau pesen 6 risol siwir ayam nih [SEP] oke risol siwir ayam harga 69 ribu total 414.000 ya kak,risol siwir ayam,6,69000,3
kk mau pesen 9 serabi durian ya [SEP] siap kak serabi durian 40k per porsi total rp360rb ya,serabi durian,9,40000,2
beli 8 milkis strawberry ya [SEP] siap milkis strawberry 15 ribu totalnya 120k kak,milkis strawberry,8,15000,2
pak mau pesen 8 tsukune terriyaki mayo ya kak [SEP] tsukune terriyaki mayo 64k ya kak jadi 512 ribu,tsukune terriyaki mayo,8,64000,2
mas mau pesen 7 bakmie goreng krengsengan [SEP] siap bakmie goreng krengsengan 54rb totalnya 378 ribu kak,bakmie goreng krengsengan,7,54000,1
