product,jumlah_muncul
nasi panggangan ikan tengiri,306
omelete chicken telur,303
nasi kulit ayam teriyaki,302
chicken karage ocha,302
nasi goreng kampung,298
ayam suwir mozza rice bowl,294
nasi tauco udang pete,293
nasi campur daging,292
ayam pedas,290
telur ayam bagian kuning,290
crispy chicken bbq aqua,289
gandul tanpa nasi,289
nasi goreng tahu tabalik,289
ayam pop,289
nasi bebek kebon samping,288
gochujang chicken,287
ayam geprek mozarella nasi,287
chicken porridge,286
nasi bebek bakar,285
ayam kota belur cabe ijo,284
chicken karaage,284
nasi ayam goreng kampung,283
sate taichan ayam,283
dfc whole chicken,283
nasi kulit geprek,282
chicken strips seasoning,281
nasi gurih mata sapi,280
nasi hainan ayam panggang,280
lumpia ayam kulit tahu,280
ayam saus mentega,278
chicken chop with mushroom sc,277
chicken katsudon,277
nasi siobak jumbo,277
nasi goreng kimci kimci bokeumbab,277
nasi chicken wing,276
nasi goreng tomyam,275
crunchy vegan fried chicken spicy,275
nasi pecel,275
butter chicken wrap,275
nasi goreng jutawan,274
ayam bakar mini tanpa nasi,274
nasi bakar ayam bakar,274
fried chicken box,274
combo ayam geprek mozarella,274
kulit ayam bakar,274
nasi sayur asem,273
nasi telor dadar sambel matha,273
ayam kremes,272
nasi goreng sosis telur,272
ayam katsu,272
nasi tambah,272
gongso iga nasi,272
ayam bakar ts,271
truffle chicken mushroom mentai,271
nasi hainan bbq combo,271
nasi goreng steak ayam,271
ayam bakar madu,270
nasi madura darat,270
sei ayam medium,270
sei ayam bambu family size,270
poached chicken,269
nasi bebek super,268
nasi pecelurap wong soeroboyo,268
nasi kotak telur,268
garlic chicken,268
ayam geprek,268
fried chicken,267
nasi wings xl geprek bawang,267
sup asparagus jagung ayam,267
istimewa ayam,267
nasi kuning,267
babi panggang tanpa nasi,267
nasi goreng,267
itaewon mozzy chicken xxl,266
tim obat ayam kampung,265
nasi uduk,265
chicken croffle truffle,265
ayam bakar,265
nasi liwet,264
hot plate ayam paprika,264
nasi gulai otak,264
nasi octopus,263
ayam potong pe,263
dumpling chicken,262
sate ayam dada,262
super telor ayam sosis,262
nasi goreng coklat spesial,262
japanese curry chicken rice feast,262
nasi goreng bscoffee,262
chicken ranch,262
nasi wings xl geprek matha,261
hainan rice barbeque chicken,261
nasi goreng cabe ijo,261
best of chicken burger,261
rempela goreng plus nasi,261
nasi goreng seafood original,261
nasi sayur perkedel,260
nasi jeruk,259
koloke nasi,259
chicken bbq,259
